"";"prov_id";"primeiro_de_provincia";"munic_id";"primeiro_de_municipio";"sexo_condicao";"total_almas";"racas_branco";"racas_pardo";"racas_preto";"racas_caboclo";"estado_civil_solteiro";"estado_civil_casado";"estado_civil_viuvo";"religiao_catolicos";"religiao_acatolico";"nacionalidade_brasileira";"nacionalidade_estrangeira";"instrucao_sabem_ler_e_escrever";"instrucao_analfabetos";"instrucao_populacao_escolar_de_6_a_15_anos_frequentam_escola";"instrucao_populacao_escolar_de_6_a_15_anos_nao_frequentam_escola";"instrucao_populacao_escolar_de_6_a_15_anos_s_inf_da_frequencia_escolar";"defeitos_fisicos_cegos";"defeitos_fisicos_surdos_mudos";"defeitos_fisicos_aleijados";"defeitos_fisicos_dementes";"defeitos_fisicos_alienados";"ausentes_ausentes";"transeuntes_transeuntes";"faixa_etaria_1_mes";"faixa_etaria_2_meses";"faixa_etaria_3_meses";"faixa_etaria_4_meses";"faixa_etaria_5_meses";"faixa_etaria_6_meses";"faixa_etaria_7_meses";"faixa_etaria_8_meses";"faixa_etaria_9_meses";"faixa_etaria_10_meses";"faixa_etaria_11_meses";"faixa_etaria_1_ano";"faixa_etaria_2_anos";"faixa_etaria_3_anos";"faixa_etaria_4_anos";"faixa_etaria_5_anos";"faixa_etaria_6_10_anos";"faixa_etaria_11_15_anos";"faixa_etaria_16_20_anos";"faixa_etaria_21_25_anos";"faixa_etaria_26_30_anos";"faixa_etaria_31_40_anos";"faixa_etaria_41_50_anos";"faixa_etaria_51_60_anos";"faixa_etaria_61_70_anos";"faixa_etaria_71_80_anos";"faixa_etaria_81_90_anos";"faixa_etaria_91_100_anos";"faixa_etaria_maiores_de_100";"faixa_etaria_s_inf";"brasileiros_segundo_origem_brasileiros_adotivos";"brasileiros_segundo_origem_estrang_naturalizados";"brasileiros_segundo_origem_amazonas";"brasileiros_segundo_origem_para";"brasileiros_segundo_origem_maranhao";"brasileiros_segundo_origem_piauhy";"brasileiros_segundo_origem_ceara";"brasileiros_segundo_origem_rio_grande_do_norte";"brasileiros_segundo_origem_parahyba";"brasileiros_segundo_origem_pernambuco";"brasileiros_segundo_origem_alagoas";"brasileiros_segundo_origem_sergipe";"brasileiros_segundo_origem_bahia";"brasileiros_segundo_origem_espirito_santo";"brasileiros_segundo_origem_rio_de_janeiro";"brasileiros_segundo_origem_sao_paulo";"brasileiros_segundo_origem_parana";"brasileiros_segundo_origem_santa_catharina";"brasileiros_segundo_origem_rio_grande_do_sul";"brasileiros_segundo_origem_minas_geraes";"brasileiros_segundo_origem_goyaz";"brasileiros_segundo_origem_matto_grosso";"brasileiros_segundo_origem_s_inf_de_origem";"estrangeiros_segundo_origem_africanos";"estrangeiros_segundo_origem_alemaes";"estrangeiros_segundo_origem_austriacos";"estrangeiros_segundo_origem_argentinos";"estrangeiros_segundo_origem_belgas";"estrangeiros_segundo_origem_bolivianos";"estrangeiros_segundo_origem_chineses";"estrangeiros_segundo_origem_dinamarqueses";"estrangeiros_segundo_origem_franceses";"estrangeiros_segundo_origem_gregos";"estrangeiros_segundo_origem_espanhois";"estrangeiros_segundo_origem_holandeses";"estrangeiros_segundo_origem_hungaros";"estrangeiros_segundo_origem_ingleses";"estrangeiros_segundo_origem_italianos";"estrangeiros_segundo_origem_japoneses";"estrangeiros_segundo_origem_mexicanos";"estrangeiros_segundo_origem_norte_americanos";"estrangeiros_segundo_origem_orientais";"estrangeiros_segundo_origem_paraguaios";"estrangeiros_segundo_origem_persas";"estrangeiros_segundo_origem_peruanos";"estrangeiros_segundo_origem_portugueses";"estrangeiros_segundo_origem_russos";"estrangeiros_segundo_origem_suissos";"estrangeiros_segundo_origem_suecos";"estrangeiros_segundo_origem_turcos";"estrangeiros_segundo_origem_estrang_s_inf";"prof_liberais_seculares_religiosos";"prof_liberais_homens_relig_regular";"prof_liberais_mulheres_relig_regular";"prof_liberais_juizes";"prof_liberais_advogados";"prof_liberais_notarios_e_escrivaes";"prof_liberais_procuradores";"prof_liberais_oficiais_de_justica";"prof_liberais_medicos";"prof_liberais_cirurgioes";"prof_liberais_farmaceuticos";"prof_liberais_parteiros";"prof_liberais_professores_e_homens_de_letras";"prof_liberais_empregados_publicos";"prof_liberais_artistas";"outras_ocupacoes_militares";"outras_ocupacoes_maritimos";"outras_ocupacoes_pescadores";"outras_ocupacoes_capitalistas_e_proprietarios";"prof_industriais_e_comerciais_manufatureiros_e_fabricantes";"prof_industriais_e_comerciais_comerciantes_guarda_livros_e_caixeiros";"prof_manuais_e_mec_costureiras";"prof_manuais_e_mec_canteiros_calcoteiros_mineiros_e_cavouqueiros";"prof_manuais_e_mec_em_metais";"prof_manuais_e_mec_em_madeiras";"prof_manuais_e_mec_em_tecidos";"prof_manuais_e_mec_de_edificacoes";"prof_manuais_e_mec_em_couros_e_peles";"prof_manuais_e_mec_em_tinturaria";"prof_manuais_e_mec_de_vestuarios";"prof_manuais_e_mec_de_chapeus";"prof_manuais_e_mec_de_calcado";"prof_agric_lavradores";"prof_agric_criadores";"outras_ocupacoes_criados_e_jornaleiros";"outras_ocupacoes_servico_domestico";"sem_profissao_sem_profissao";"outras_ocupacoes_s_inf"
"1";9;"Alagoas";906;"Alagoas";"Homem Escravizado";539;0;119;420;0;451;64;24;539;0;447;92;0;539;0;0;125;2;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;2;11;11;11;8;61;64;51;50;55;76;73;42;14;4;4;0;2;0;0;0;0;0;0;0;1;0;0;18;428;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;2;303;0;55;67;108;0
"2";9;"Alagoas";906;"Alagoas";"Homem Livre";3978;1460;2128;318;72;2533;1228;217;3978;0;3966;12;924;3054;280;725;0;15;4;16;3;1;33;29;28;12;27;6;7;19;7;15;9;5;3;81;129;108;129;134;576;429;408;290;308;507;355;230;105;41;7;2;1;0;0;0;0;1;1;0;4;0;2;70;3884;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;3;2;0;2;1;4;1;1;2;0;2;0;8;17;131;1;40;135;12;12;197;0;0;25;81;0;21;0;0;20;0;18;1376;0;234;90;1542;0
"3";9;"Alagoas";906;"Alagoas";"Mulher Escravizada";507;0;117;390;0;444;46;17;507;0;467;40;0;507;0;0;143;2;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;6;7;12;11;11;82;61;56;47;51;69;43;32;13;5;1;0;0;0;0;0;0;0;1;0;0;0;0;15;449;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;174;0;14;110;198;0
"4";9;"Alagoas";906;"Alagoas";"Mulher Livre";4778;1739;2565;415;59;3065;1203;510;4778;0;4776;2;755;4023;282;798;0;10;2;7;4;6;12;20;19;20;20;22;5;17;9;6;14;10;10;83;141;103;119;127;628;452;560;428;465;658;383;301;120;41;13;2;2;0;0;0;0;0;2;0;0;0;2;67;4705;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;0;8;0;0;0;25;25;59;659;0;0;0;0;0;0;0;0;0;2;464;12;321;704;2492;0
"5";9;"Alagoas";913;"Anadia";"Homem Escravizado";1124;0;340;784;0;1008;98;18;1124;0;1063;61;0;1124;0;0;307;0;0;4;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;25;45;35;40;30;173;134;125;102;101;152;103;39;15;4;1;0;0;0;0;0;0;0;0;0;0;0;0;12;1051;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;3;410;0;444;42;221;0
"6";9;"Alagoas";913;"Anadia";"Homem Livre";10789;2758;7582;286;163;7364;3142;283;10789;0;10773;16;1085;9704;229;2814;0;15;3;15;5;5;5;8;57;56;31;29;17;54;12;29;17;17;12;365;438;394;441;481;1900;1143;1127;806;886;1111;691;399;163;59;18;10;3;23;1;0;1;0;0;0;0;0;2;72;10688;3;6;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;6;0;0;0;0;0;4;0;0;0;0;2;0;3;0;0;1;0;17;2;15;0;3;0;9;12;39;0;0;36;52;0;10;11;0;35;0;43;4548;13;1305;49;4580;0
"7";9;"Alagoas";913;"Anadia";"Mulher Escravizada";1060;0;382;678;0;967;78;15;1060;0;1014;46;0;1060;0;0;287;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;31;36;25;26;20;174;113;134;102;113;165;71;28;8;4;2;2;5;1;0;0;0;0;0;0;0;0;0;2;1012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;240;0;186;385;233;0
"8";9;"Alagoas";913;"Anadia";"Mulher Livre";10702;2674;7566;296;166;7040;3114;548;10702;0;10697;5;564;10138;139;2725;0;8;1;5;2;8;5;18;58;38;45;32;31;44;21;14;21;20;89;365;409;436;380;299;1778;1086;1324;1045;972;1112;605;280;110;38;20;9;8;13;0;0;0;0;0;0;0;0;2;73;10616;3;3;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;3;0;8;287;0;0;0;44;0;0;0;0;0;0;643;0;253;2517;6945;0
"9";9;"Alagoas";912;"Assembléia";"Homem Escravizado";941;0;146;795;0;764;155;22;941;0;877;64;3;938;0;0;260;1;0;7;1;0;8;3;0;0;0;0;0;0;0;0;0;0;12;23;37;36;36;46;146;114;111;85;88;63;76;47;12;8;1;0;0;0;0;0;0;0;0;2;16;0;0;84;773;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;17;0;0;0;0;0;2;726;0;24;35;133;0
"10";9;"Alagoas";912;"Assembléia";"Homem Livre";15808;4106;10520;810;372;10578;4737;493;15808;0;15780;28;1558;14250;262;3962;0;19;4;43;6;7;121;6;145;162;102;82;70;122;65;73;78;62;41;643;600;641;595;678;2696;1528;1579;1288;1328;1418;868;483;290;112;42;17;0;0;0;0;4;0;0;0;14;1;62;1880;13794;3;22;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;2;0;0;0;0;0;4;1;0;1;3;0;10;7;88;14;0;0;56;6;165;0;0;37;39;159;11;4;0;27;0;24;7679;49;149;700;6572;1
"11";9;"Alagoas";912;"Assembléia";"Mulher Escravizada";989;0;233;756;0;857;117;15;989;0;963;26;1;988;0;0;239;3;0;8;2;0;3;6;0;0;0;0;0;0;0;0;0;0;9;38;41;44;43;29;126;113;151;82;99;99;76;22;8;9;0;0;0;0;0;0;0;0;0;2;4;0;2;158;797;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;693;0;22;86;167;0
"12";9;"Alagoas";912;"Assembléia";"Mulher Livre";15695;3778;10418;897;602;10463;4354;878;15695;0;15686;9;654;15041;174;3535;0;17;4;26;4;10;41;6;97;105;93;103;119;96;105;97;62;108;95;719;706;713;667;672;2386;1323;1768;1135;1498;1557;826;347;155;93;35;13;2;0;0;0;0;0;47;94;198;29;76;1724;13229;163;126;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;4;0;50;0;0;0;0;0;10;541;0;0;0;335;0;0;0;0;0;0;2930;0;232;899;10685;0
"13";9;"Alagoas";908;"Atalaia";"Homem Escravizado";930;0;267;663;0;881;40;9;930;0;908;22;0;930;0;0;255;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;25;26;22;22;19;147;108;127;82;84;148;83;23;12;2;0;0;0;0;0;0;0;0;0;0;0;0;0;11;897;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;150;0;604;71;101;0
"14";9;"Alagoas";908;"Atalaia";"Homem Livre";11336;2160;8216;465;495;7729;3313;294;11336;0;11327;9;1868;9468;285;2496;0;12;2;24;1;1;43;0;36;48;39;32;25;51;18;23;25;22;11;379;522;414;512;443;1748;1033;1435;1018;1118;1166;689;345;112;58;9;4;1;0;0;2;0;0;0;2;0;0;0;117;11204;0;2;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;3;0;0;0;0;0;2;4;0;0;0;0;3;5;56;12;3;10;3;6;128;0;0;28;34;0;6;12;0;31;0;29;3226;0;2268;110;5357;0
"15";9;"Alagoas";908;"Atalaia";"Mulher Escravizada";958;0;353;605;0;923;26;9;958;0;947;11;0;958;0;0;242;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;39;28;22;21;135;107;85;103;78;171;82;35;2;4;4;0;0;0;0;0;0;0;0;0;0;0;0;2;945;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;9;0;386;448;106;0
